Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
DS,Discover,Discover,6480195344642784,Brenda D Peterson,689,01/2017,01/2022,4,1998,22700
DC,Diners Club International,Diners Club,30295201231669,Dawn U Reese,070,12/2015,12/2016,11,3915,12700
DC,Diners Club International,Diners Club,30082494556063,Helen P Perry,709,02/2007,02/2020,13,2319,81900
AX,American Express,Bank of America,344850003945824,Christine E Kim,3819,08/2011,08/2013,4,9017,77700
JC,Japan Credit Bureau,JCB,3583387923333637,Elizabeth Z Lopez,913,11/2017,11/2026,22,0066,38300
JC,Japan Credit Bureau,JCB,3587385370593642,Nancy S Robles,217,11/2015,11/2029,12,2867,158000
AX,American Express,American Express,370760148157259,Jesse J Perez,3555,06/2015,06/2032,25,8493,68000
MC,Master Card,Wells Fargo,5195453057371101,Jon O Reese,241,06/2011,06/2020,15,3907,41500
DC,Diners Club International,Diners Club,30136262165745,Jeremy P Price,082,08/2016,08/2028,26,7665,47800
DC,Diners Club International,Diners Club,30240341569594,Joe N Mccarty,509,10/2015,10/2027,12,5766,93300
JC,Japan Credit Bureau,JCB,3530679650338050,Billy O Bell,769,01/2013,01/2014,25,5208,37300
MC,Master Card,Chase,5198993763507511,Vincent M Fulton,220,10/2013,10/2022,24,0023,95100
JC,Japan Credit Bureau,JCB,3529309374370709,Sandra H Adams,885,08/2013,08/2022,6,3030,50500
VI,Visa,Chase,4381079728309639,Edward Z Owen,487,01/2010,01/2015,3,1031,23300
VI,Visa,Capital One,4743989012790232,Jimmy V Baker,585,02/2016,02/2019,15,7835,100300
JC,Japan Credit Bureau,JCB,3555651461566971,Heather W Acosta,465,02/2015,02/2028,27,9382,13500
DC,Diners Club International,Diners Club,30074512207043,Louis Martinez,120,07/2007,07/2021,26,5735,19500
AX,American Express,American Express,341417671620692,Helen R Lucas,5798,09/2017,09/2020,1,3066,40100
MC,Master Card,Citibank,5490330287718321,Henry T Miller,864,12/2017,12/2027,15,3782,135600
AX,American Express,American Express,345631531175020,Henry W Hewitt,0525,05/2011,05/2023,25,7880,78700
JC,Japan Credit Bureau,JCB,3541742607804785,Janet Alexander,494,09/2017,09/2023,20,3722,119300
DS,Discover,Discover,6011572472854191,Jim X Ballard,056,09/2010,09/2029,1,1169,42900
DS,Discover,Discover,6011274823016501,Howard X Nelson,469,02/2013,02/2030,20,5784,29500
VI,Visa,Chase,4664059754435134,Eleanor Callahan,022,03/2015,03/2024,3,5442,167400
DC,Diners Club International,Diners Club,36110581455529,Lillian M Green,851,02/2007,02/2021,4,2833,18900
DC,Diners Club International,Diners Club,30179045289812,Judith I Rollins,583,08/2014,08/2031,24,0937,85300
